seller_id,seller_type,power_seller_status,price,currency_id,item_id,category_id,buying_mode,category_path,vertical,item_condition,listing_type_id,item_status,deal_ids,catalog_listing,vip_version,domain_id,description_type,city,neighborhood,state,gallery_pattern,comparator_available,price_comparison_available,price_comparison_position,has_good_price,whatsapp_available,whatsapp_integration_available,new_wording_free,available_consumer_credit,has_seller_level_kyc,has_highlighted_sale_specs,verified,BRAND,MODEL,VEHICLE_YEAR
96698677,car_dealer,silver,24990,USD,MLA1368741115,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,none,Capital Federal,Puerto Madero,Capital Federal,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Volkswagen,Nivus,2020
31089505,car_dealer,silver,34500,USD,MLA1368701909,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,none,San Isidro,Acassuso,Bs.As. G.B.A. Norte,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,BMW,Serie 1,2017
96698677,car_dealer,silver,17890000,ARS,MLA1368539079,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,none,Capital Federal,Puerto Madero,Capital Federal,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.85,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Toyota,Corolla Cross,2023
1362464781,car_dealer,silver,3390000,ARS,MLA1368610045,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,plain_text,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.08,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Volkswagen,Up!,2016
1362464781,car_dealer,silver,31990,USD,MLA1368474067,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,plain_text,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Jeep,Compass,2018
1362464781,car_dealer,silver,51990,USD,MLA1410238328,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,none,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Toyota,SW4,2021
1362464781,car_dealer,silver,12990000,ARS,MLA1410225666,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,none,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.65,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Fiat,Toro,2021
1362464781,car_dealer,silver,16200000,ARS,MLA1410212432,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,plain_text,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.25,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Ford,Maverick,2023
115745345,car_dealer,silver,45000,USD,MLA1364659711,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,plain_text,Escobar,Bel̩n de Escobar,Bs.As. G.B.A. Norte,XXXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Hyundai,Santa Fe,2018
1362464781,car_dealer,silver,15990000,ARS,MLA1368520663,MLA1744,classified,"['MLA1743', 'MLA1744']",motors,used,gold_premium,active,[],FALSE,new,MLA-CARS_AND_VANS,plain_text,La Plata,City Bell,Bs.As. G.B.A. Sur,XXXXXXXXXXXXXXXXXXX,FALSE,TRUE,0.92,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Ford,Territory,2023
