,price,city,neighborhood,state,price_comparison_available,price_comparison_position,has_good_price,whatsapp_available,whatsapp_integration_available,new_wording_free,available_consumer_credit,has_seller_level_kyc,has_highlighted_sale_specs,verified,BRAND,MODEL,VEHICLE_YEAR
44,43500.0,Capital Federal,Barracas,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,SW4,2019
45,15000.0,Capital Federal,Barracas,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Peugeot,308,2018
46,27999.0,Pilar,La Lonja,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,Mitsubishi,Outlander,2016
47,48900.0,San Isidro,Acassuso,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,BMW,X4,2016
48,24990.0,Capital Federal,Puerto Madero,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Volkswagen,Nivus,2020
49,34500.0,San Isidro,Acassuso,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,BMW,Serie 1,2017
50,78716.0,Capital Federal,Puerto Madero,Capital Federal,True,0.85,False,True,False,True,False,True,True,FALSE,Toyota,Corolla Cross,2023
51,14916.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.08,False,True,False,True,False,True,True,FALSE,Volkswagen,Up!,2016
52,31990.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.92,False,True,False,True,False,True,True,FALSE,Jeep,Compass,2018
53,51990.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,SW4,2021
54,57156.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.65,False,True,False,True,False,True,True,FALSE,Fiat,Toro,2021
55,71280.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.25,False,True,False,True,False,True,True,FALSE,Ford,Maverick,2023
56,45000.0,Escobar,Bel̩n de Escobar,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Hyundai,Santa Fe,2018
57,70356.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.92,False,True,False,True,False,True,True,FALSE,Ford,Territory,2023
58,70356.0,Capital Federal,Puerto Madero,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Ford,Territory,2023
59,45000.0,Escobar,Bel̩n de Escobar,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,Subaru,XV,2023
60,39116.0,Capital Federal,Puerto Madero,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Renault,Kangoo,2023
61,39116.0,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.92,False,True,False,True,False,True,True,FALSE,Renault,Kangoo,2023
62,30316.000000000004,Capital Federal,Puerto Madero,Capital Federal,True,0.92,False,True,False,True,False,True,True,FALSE,Renault,Kangoo,2023
63,30316.000000000004,La Plata,City Bell,Bs.As. G.B.A. Sur,True,0.92,False,True,False,True,False,True,True,FALSE,Renault,Kangoo,2023
64,34000.0,Escobar,Bel̩n de Escobar,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,Hilux,2017
65,40500.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Toyota,SW4,2018
66,40000.0,Escobar,Bel̩n de Escobar,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Mercedes-Benz,Vito,2021
67,6600.0,Pilar,La Lonja,Bs.As. G.B.A. Norte,True,0.08,False,True,False,True,False,True,True,FALSE,Peugeot,207,2011
68,16720.0,Pilar,La Lonja,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,Kia,Cerato,2016
69,13500.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,True,0.92,False,True,False,True,False,True,True,FALSE,Jeep,Grand Cherokee,2005
70,13900.0,Pilar,Tortugas,Bs.As. G.B.A. Norte,False,,False,True,False,True,False,True,True,FALSE,Subaru,Tribeca,2010
